"17.08.2026 11:17:34 UTC"
"PlayerCount: 500"
"Rank","Country","Nick","SiteName","UserID","Matches","Wins","Losses","Win_Rate","Win_Loss_Ratio","Total_Goals","Total_Assists","Total_Saves","Total_OwnGoals","MVP_Count","Goals_PG","Assists_PG","Saves_PG","Actions_PG","Contributions_PG","Striker_Ratio","Playmaker_Ratio","Defensive_Ratio","Offensive_Ratio","Libero_Index","Forward_Index","Saves_To_Goals_Ratio","Saves_To_Assists_Ratio","Goals_Per_Win","Assists_Per_Win","Saves_Per_Win","Actions_Per_Win","Goals_Per_Loss","Assists_Per_Loss","Saves_Per_Loss","Actions_Per_Loss","MVP_Rate","MVP_Win_Rate","MVP_To_Goal_Ratio","Carry_Index","Loss_Rate","Loss_Win_Ratio","Non_MVP_Win_Rate","Role_Balance_Index","OPQI","Goals_To_Assists_Ratio","Assists_To_Goals_Ratio","Assists_Per_Win","Assists_Per_Loss","MVP_To_Goal_Ratio","Total_Actions","Total_Contributions","Primary_Role","Primary_Role_ID","Primary_Role_Score","Primary_Role_Level","All_Roles"
"1","🇦🇷","[HvS]Survivor (910K)","#Survivor","66783","16228","8748","7480","53.91","1.17","24482","7702","14533","2413","4321","1.51","0.47","0.90","2.88","1.98","76.07","23.93","31.11","68.89","0.45","2.21","0.59","1.89","2.80","0.88","1.66","5.34","3.27","1.03","1.94","6.25","26.63","49.39","0.18","0.42","46.09","0.85","50.61","2.21","0.767","3.18","0.32","0.88","1.03","0.18","46717","32184","⚽ Striker (Poacher) - 🟩 World Class (94.0 pts)","st","94.0","World Class","⚽ Striker (Poacher) - 🟩 World Class (94.0 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (87.5 pts) | 🔄 Utility Player (Joker) - 🟩 World Class (82.5 pts) | 🏃 Defensive Dinamo (Engine) - 🟩 World Class (81.6 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (80.5 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (65.2 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (60.5 pts) | 🧤 Goalkeeper (Stopper) - 🟧 Reliable (36.5 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (11.8 pts)"
"2","🇪🇬","Zizo (883K)","funzorro","96477","15851","9155","6696","57.76","1.37","23645","9133","10209","2178","3652","1.49","0.58","0.64","2.71","2.07","72.14","27.86","23.75","76.25","0.31","3.21","0.43","1.12","2.58","1.00","1.11","4.70","3.53","1.36","1.52","6.42","23.04","39.89","0.15","0.29","42.24","0.73","60.11","3.21","0.625","2.59","0.39","1.00","1.36","0.15","42987","32778","⚽ Striker (Poacher) - 🟩 World Class (93.0 pts)","st","93.0","World Class","⚽ Striker (Poacher) - 🟩 World Class (93.0 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (82.0 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (81.6 pts) | 🔄 Utility Player (Versatile) - 🟧 Reliable (76.4 pts) | 🏃 Defensive Dinamo (Workhorse) - 🟧 Reliable (75.2 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (66.7 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (57.3 pts) | 🧤 Goalkeeper (Backup) - 🟥 Adaptable (27.3 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (16.1 pts)"
"3","🇸🇪","AI8nam~ (882K)","Ibra","172522","10086","7189","2897","71.28","2.48","27802","6505","8320","1017","4492","2.76","0.65","0.82","4.23","3.40","81.04","18.96","19.52","80.48","0.24","4.12","0.30","1.28","3.87","0.91","1.16","5.93","9.60","2.25","2.87","14.71","44.54","62.48","0.16","0.25","28.72","0.40","37.52","4.12","1.882","4.27","0.23","0.91","2.25","0.16","42627","34307","⚽ Striker (Poacher) - 🟩 World Class (95.3 pts)","st","95.3","World Class","⚽ Striker (Poacher) - 🟩 World Class (95.3 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (83.9 pts) | 🏃 Defensive Dinamo (Engine) - 🟩 World Class (81.7 pts) | 🔄 Utility Player (Joker) - 🟩 World Class (81.7 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (78.3 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (56.6 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (55.5 pts) | 🧤 Goalkeeper (Backup) - 🟥 Adaptable (26.6 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (16.1 pts)"
"4","🇧🇪","[FYC]TeaRexx (878K)","TeaRexx1","52344","24798","10039","14759","40.48","0.68","21823","10631","13471","3147","2534","0.88","0.43","0.54","1.85","1.31","67.24","32.76","29.33","70.67","0.41","2.41","0.62","1.27","2.17","1.06","1.34","4.58","1.48","0.72","0.91","3.11","10.22","25.24","0.12","0.37","59.52","1.47","74.76","2.41","0.189","2.05","0.49","1.06","0.72","0.12","45925","32454","⚽ Striker (Poacher) - 🟩 World Class (91.8 pts)","st","91.8","World Class","⚽ Striker (Poacher) - 🟩 World Class (91.8 pts) | 🏃‍♂️ Box-to-Box (Balanced Mid) - 🟧 Reliable (76.4 pts) | 🧤 Sweeper-Keeper (Active Keeper) - 🟧 Reliable (73.0 pts) | 🔄 Utility Player (Versatile) - 🟧 Reliable (71.1 pts) | 🏃 Defensive Dinamo (Workhorse) - 🟧 Reliable (68.8 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (67.3 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (56.6 pts) | 🧤 Goalkeeper (Backup) - 🟥 Adaptable (30.2 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (19.7 pts)"
"5","🇹🇷","fycLorente (870K)","Lorente","258735","16888","9648","7240","57.13","1.33","23295","7594","10428","2226","3845","1.38","0.45","0.62","2.45","1.83","75.42","24.58","25.24","74.76","0.34","2.96","0.45","1.37","2.41","0.79","1.08","4.28","3.22","1.05","1.44","5.71","22.77","39.85","0.17","0.30","42.87","0.75","60.15","2.96","0.557","3.07","0.33","0.79","1.05","0.17","41317","30889","⚽ Striker (Poacher) - 🟩 World Class (93.9 pts)","st","93.9","World Class","⚽ Striker (Poacher) - 🟩 World Class (93.9 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (79.1 pts) | 🏃‍♂️ Box-to-Box (Balanced Mid) - 🟧 Reliable (76.7 pts) | 🔄 Utility Player (Versatile) - 🟧 Reliable (74.6 pts) | 🏃 Defensive Dinamo (Workhorse) - 🟧 Reliable (73.1 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (59.5 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (56.8 pts) | 🧤 Goalkeeper (Backup) - 🟥 Adaptable (28.1 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (18.7 pts)"
"6","🇵🇱","|W| (825K)","kingofgame","287705","8703","6319","2384","72.61","2.65","20595","6438","18434","1353","3789","2.37","0.74","2.12","5.22","3.11","76.18","23.82","40.54","59.46","0.68","1.47","0.90","2.86","3.26","1.02","2.92","7.20","8.64","2.70","7.73","19.07","43.54","59.96","0.18","0.23","27.39","0.38","40.04","1.47","2.274","3.20","0.31","1.02","2.70","0.18","45467","27033","🏃 Defensive Dinamo (Engine) - 🟩 World Class (94.3 pts)","dd","94.3","World Class","🏃 Defensive Dinamo (Engine) - 🟩 World Class (94.3 pts) | 🔄 Utility Player (Joker) - 🟩 World Class (94.3 pts) | ⚽ Striker (Poacher) - 🟩 World Class (94.0 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (93.4 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (81.7 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (75.8 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (62.1 pts) | 🧤 Goalkeeper (Stopper) - 🟧 Reliable (60.8 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (1.5 pts)"
"7","🇮🇹","Snowy (796K)","Nowhere","291964","11237","7575","3662","67.41","2.07","18911","6848","14498","1229","3495","1.68","0.61","1.29","3.58","2.29","73.42","26.58","36.01","63.99","0.56","1.78","0.77","2.12","2.50","0.90","1.91","5.31","5.16","1.87","3.96","10.99","31.10","46.14","0.18","0.22","32.59","0.48","53.86","1.78","1.114","2.76","0.36","0.90","1.87","0.18","40257","25759","⚽ Striker (Poacher) - 🟩 World Class (93.4 pts)","st","93.4","World Class","⚽ Striker (Poacher) - 🟩 World Class (93.4 pts) | 🏃 Defensive Dinamo (Engine) - 🟩 World Class (91.6 pts) | 🔄 Utility Player (Joker) - 🟩 World Class (91.6 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (91.4 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (83.6 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (70.9 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (65.3 pts) | 🧤 Goalkeeper (Stopper) - 🟧 Reliable (45.8 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (5.0 pts)"
"8","🇪🇨","[HvS]Al3x (794K)","Al3xV10","178324","11033","6497","4536","58.89","1.43","23055","6535","11226","2079","3572","2.09","0.59","1.02","3.70","2.68","77.91","22.09","27.50","72.50","0.38","2.64","0.49","1.72","3.55","1.01","1.73","6.28","5.08","1.44","2.48","9.00","32.38","54.98","0.15","0.38","41.11","0.70","45.02","2.64","1.198","3.53","0.28","1.01","1.44","0.15","40816","29590","⚽ Striker (Poacher) - 🟩 World Class (94.5 pts)","st","94.5","World Class","⚽ Striker (Poacher) - 🟩 World Class (94.5 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (87.5 pts) | 🏃 Defensive Dinamo (Engine) - 🟩 World Class (86.5 pts) | 🔄 Utility Player (Joker) - 🟩 World Class (86.5 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (80.5 pts) | 🛡️ Sweeper (Clearing Defender) - 🟧 Reliable (62.6 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (60.2 pts) | 🧤 Goalkeeper (Stopper) - 🟧 Reliable (35.4 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (11.0 pts)"
"9","🇳🇱","fycnamed (791K)","Plast1k","97532","13395","7098","6297","52.99","1.13","3677","3336","42613","2305","3288","0.28","0.25","3.18","3.71","0.52","52.43","47.57","85.87","14.13","6.08","0.17","11.59","12.77","0.52","0.47","6.00","6.99","0.58","0.53","6.77","7.88","24.55","46.32","0.89","0.41","47.01","0.89","53.68","0.17","0.909","1.10","0.91","0.47","0.53","0.89","49626","7013","🧤 Goalkeeper (Wall) - 🟩 World Class (95.9 pts)","gk","95.9","World Class","🧤 Goalkeeper (Wall) - 🟩 World Class (95.9 pts) | 🛡️ Sweeper (Libero) - 🟩 World Class (84.7 pts) | 🧤 Sweeper-Keeper (Active Keeper) - 🟧 Reliable (70.8 pts) | 🏃‍♂️ Box-to-Box (Balanced Mid) - 🟧 Reliable (69.7 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (69.3 pts) | ⚽ Striker (Target Man) - 🟧 Reliable (60.1 pts) | 🏃 Defensive Dinamo (Workhorse) - 🟧 Reliable (53.4 pts) | 🔄 Utility Player (Versatile) - 🟧 Reliable (49.2 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (17.0 pts)"
"10","🇭🇺","ImSippinTeaInYoHood (759K)","Dani12312","258158","8626","5313","3313","61.59","1.60","22068","5652","20947","1445","2749","2.56","0.66","2.43","5.64","3.21","79.61","20.39","43.04","56.96","0.76","1.32","0.95","3.71","4.15","1.06","3.94","9.16","6.66","1.71","6.32","14.69","31.87","51.74","0.12","0.32","38.41","0.62","48.26","1.32","1.798","3.90","0.26","1.06","1.71","0.12","48667","27720","🏃 Defensive Dinamo (Engine) - 🟩 World Class (95.8 pts)","dd","95.8","World Class","🏃 Defensive Dinamo (Engine) - 🟩 World Class (95.8 pts) | 🔄 Utility Player (Joker) - 🟩 World Class (95.8 pts) | ⚽ Striker (Poacher) - 🟩 World Class (94.9 pts) | 🧤 Sweeper-Keeper (Rush Keeper) - 🟩 World Class (94.6 pts) | 🏃‍♂️ Box-to-Box (All-Rounder) - 🟩 World Class (79.3 pts) | 🛡️ Sweeper (Libero) - 🟩 World Class (78.6 pts) | 🧤 Goalkeeper (Stopper) - 🟧 Reliable (67.1 pts) | 🧠 Playmaker (Distributor) - 🟧 Reliable (58.2 pts) | 🌱 Prospect (Raw Talent) - 🟥 Adaptable (0.4 pts)"
